gatewayFid,MIDActual,vampMid,mastercardMid,gateway,brand,currency,RDR Merchant Name,DBA,BIN,CAID,IsActive,isCrossBorder,processWallet,Duplicate ?
checkout-tav-aud,Checkout - Total AV - AUD,Checkout - Total AV,Checkout - Total AV,Checkout,Total AV,AUD,,ProtectedNet,,,FALSE,FALSE,TRUE,1
checkout-cad-tav,Checkout - Total AV - CAD,Checkout - Total AV,Checkout - Total AV,Checkout,Total AV,CAD,,,,,FALSE,FALSE,TRUE,1
checkout-cad-tav-new,Checkout - Total AV - CAD,Checkout - Total AV,Checkout - Total AV,Checkout,Total AV,CAD,totalav.com - 402121 - 000000000206184,totalav.com,402121,206184,FALSE,FALSE,TRUE,1
checkout-tav-cad-new,Checkout - Total AV - CAD,Checkout - Total AV,Checkout - Total AV,Checkout,Total AV,CAD,totalav.com - 402121 - 000000000206184,totalav.com,402121,206184,FALSE,FALSE,TRUE,1
checkout-tav-cad,Checkout - Total AV - CAD,Checkout - Total AV,Checkout - Total AV,Checkout,Total AV,CAD,totalav.com - 402121 - 000000000206184,totalav.com,402121,206184,FALSE,FALSE,TRUE,1
checkout-eur-tav,Checkout - Total AV - EUR,Checkout - Total AV,Checkout - Total AV,Checkout,Total AV,EUR,,,,,FALSE,FALSE,TRUE,1
checkout-eur-tav-new,Checkout - Total AV - EUR,Checkout - Total AV,Checkout - Total AV,Checkout,Total AV,EUR,totalav.com - 402121 - 000000000206184,totalav.com,402121,206184,TRUE,FALSE,TRUE,1
checkout-tav-eur,Checkout - Total AV - EUR,Checkout - Total AV,Checkout - Total AV,Checkout,Total AV,EUR,,ProtectedNet,,,FALSE,FALSE,TRUE,1
checkout-gbp-tav,Checkout - Total AV - GBP,Checkout - Total AV,Checkout - Total AV,Checkout,Total AV,GBP,totalav.com - 402121 - 000000000206184,totalav.com,402121,206184,FALSE,FALSE,TRUE,1
checkout-gbp-tav-new,Checkout - Total AV - GBP,Checkout - Total AV,Checkout - Total AV,Checkout,Total AV,GBP,totalav.com - 402121 - 000000000206184,totalav.com,402121,206184,TRUE,FALSE,TRUE,1
checkout-tav-gbp-new,Checkout - Total AV - GBP,Checkout - Total AV,Checkout - Total AV,Checkout,Total AV,GBP,totalav.com - 402121 - 000000000206184,totalav.com,402121,206184,FALSE,FALSE,TRUE,1
checkout-tav-gbp,Checkout - Total AV - GBP,Checkout - Total AV,Checkout - Total AV,Checkout,Total AV,GBP,totalav.com - 402121 - 000000000206184,totalav.com,402121,206184,FALSE,FALSE,TRUE,1
checkout-tav-usd,Checkout - Total AV - USD,Checkout - Total AV,Checkout - Total AV,Checkout,Total AV,USD,totalav.com - 402121 - 000000000206184,totalav.com,402121,206184,FALSE,FALSE,TRUE,1
checkout-usd-tav,Checkout - Total AV - USD,Checkout - Total AV,Checkout - Total AV,Checkout,Total AV,USD,totalav.com - 402121 - 000000000206184,totalav.com,402121,206184,FALSE,TRUE,TRUE,1
checkout-usd-tav-new,Checkout - Total AV - USD,Checkout - Total AV,Checkout - Total AV,Checkout,Total AV,USD,totalav.com - 402121 - 000000000206184,totalav.com,402121,206184,FALSE,TRUE,TRUE,1
epx-usd-tav,EPX - Total AV - USD,EPX USA - Total AV,EPX USA - Total AV,EPX,Total AV,USD,,ProtectedNet,429128,A0000000000N5AV,FALSE,FALSE,TRUE,1
merrick-usd-1002515114,Merrick - Total AV - USD,Merrick USA - Total AV,Merrick USA - Total AV,Merrick,Total AV,USD,,,,,FALSE,TRUE,FALSE,1
merrick-usd-tav,Merrick - Total AV - USD,Merrick USA - Total AV,Merrick USA - Total AV,Merrick,Total AV,USD,ProtectedNet - 462585 - 482960100005053,ProtectedNet,462585,4.83E+14,FALSE,TRUE,FALSE,1
paysafe-aud-1002449024,PaySafe - Total AV - AUD,PaySafe - Total AV,PaySafe - Total AV,PaySafe,Total AV,AUD,ProtectedNet - 458518 - 00102839,ProtectedNet,458518,102839,FALSE,TRUE,TRUE,1
paysafe-aud-tav,PaySafe - Total AV - AUD,PaySafe - Total AV,PaySafe - Total AV,PaySafe,Total AV,AUD,ProtectedNet - 458518 - 00102839,ProtectedNet,458518,102839,FALSE,TRUE,TRUE,1
paysafe-aud-tvn-ap,PaySafe - Total AV - AUD - AP,PaySafe - Total AV,PaySafe - Total AV,PaySafe,Total AV,AUD,,,,,FALSE,TRUE,TRUE,1
paysafe-cad-1002449044,PaySafe - Total AV - CAD,PaySafe - Total AV,PaySafe - Total AV,PaySafe,Total AV,CAD,,,,,FALSE,FALSE,TRUE,1
paysafe-cad-tav,PaySafe - Total AV - CAD,PaySafe - Total AV,PaySafe - Total AV,PaySafe,Total AV,CAD,ProtectedNet - 458518 - 00102840,ProtectedNet,458518,102840,FALSE,FALSE,TRUE,1
